timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_size,tcp_flags,is_http,flow_packet_count,flow_total_bytes,flow_duration,flow_avg_packet_size,flow_min_packet_size,flow_max_packet_size,flow_packet_rate,flow_byte_rate,flow_syn_count,flow_ack_count,flow_rst_count,flow_fin_count,flow_udp_count,flow_http_count,label,attack_type
1779041594.419419,192.168.82.20,192.168.82.30,80,49678,TCP,66,0,18,1,3,1106,0.0045318603515625,368.6666666666667,60,980,661.979797979798,244049.88552188553,1,3,0,1,0,3,normal,normal
1779041594.420754,192.168.82.30,192.168.82.20,49678,80,TCP,60,0,16,1,5,377,0.004532814025878906,75.4,60,131,1103.0675362928678,83171.29223648222,1,4,0,1,0,5,normal,normal
1779041594.420754,192.168.82.30,192.168.82.20,49678,80,TCP,131,77,24,1,5,377,0.004532814025878906,75.4,60,131,1103.0675362928678,83171.29223648222,1,4,0,1,0,5,normal,normal
1779041594.420754,192.168.82.20,192.168.82.30,80,49678,TCP,980,926,24,1,3,1106,0.0045318603515625,368.6666666666667,60,980,661.979797979798,244049.88552188553,1,3,0,1,0,3,normal,normal
1779041594.421263,192.168.82.30,192.168.82.20,49678,80,TCP,60,0,17,1,5,377,0.004532814025878906,75.4,60,131,1103.0675362928678,83171.29223648222,1,4,0,1,0,5,normal,normal
1779041594.423951,192.168.82.20,192.168.82.30,80,49678,TCP,60,0,17,1,3,1106,0.0045318603515625,368.6666666666667,60,980,661.979797979798,244049.88552188553,1,3,0,1,0,3,normal,normal
1779041594.423951,192.168.82.30,192.168.82.20,49678,80,TCP,60,0,16,1,5,377,0.004532814025878906,75.4,60,131,1103.0675362928678,83171.29223648222,1,4,0,1,0,5,normal,normal
1779041594.444416,192.168.82.30,192.168.82.20,49679,80,TCP,66,0,2,1,5,377,0.0034880638122558594,75.4,60,131,1433.46001367054,108082.88503075871,1,4,0,1,0,5,normal,normal
1779041594.445422,192.168.82.20,192.168.82.30,80,49679,TCP,66,0,18,1,3,1106,0.001981973648071289,368.6666666666667,60,980,1513.6427282569468,558029.6191507278,1,3,0,1,0,3,normal,normal
1779041594.445422,192.168.82.30,192.168.82.20,49679,80,TCP,60,0,16,1,5,377,0.0034880638122558594,75.4,60,131,1433.46001367054,108082.88503075871,1,4,0,1,0,5,normal,normal
1779041594.445422,192.168.82.30,192.168.82.20,49679,80,TCP,131,77,24,1,5,377,0.0034880638122558594,75.4,60,131,1433.46001367054,108082.88503075871,1,4,0,1,0,5,normal,normal
1779041594.446384,192.168.82.20,192.168.82.30,80,49679,TCP,980,926,24,1,3,1106,0.001981973648071289,368.6666666666667,60,980,1513.6427282569468,558029.6191507278,1,3,0,1,0,3,normal,normal
1779041594.446836,192.168.82.30,192.168.82.20,49679,80,TCP,60,0,17,1,5,377,0.0034880638122558594,75.4,60,131,1433.46001367054,108082.88503075871,1,4,0,1,0,5,normal,normal
1779041594.447404,192.168.82.20,192.168.82.30,80,49679,TCP,60,0,17,1,3,1106,0.001981973648071289,368.6666666666667,60,980,1513.6427282569468,558029.6191507278,1,3,0,1,0,3,normal,normal
1779041594.447904,192.168.82.30,192.168.82.20,49679,80,TCP,60,0,16,1,5,377,0.0034880638122558594,75.4,60,131,1433.46001367054,108082.88503075871,1,4,0,1,0,5,normal,normal
1779041594.462298,192.168.82.30,192.168.82.20,49680,80,TCP,66,0,2,1,5,377,0.0025920867919921875,75.4,60,131,1928.9477557027226,145442.66077998528,1,4,0,1,0,5,normal,normal
1779041594.462298,192.168.82.20,192.168.82.30,80,49680,TCP,66,0,18,1,3,1106,0.002402067184448242,368.6666666666667,60,980,1248.9242679900744,460436.74679900747,1,3,0,1,0,3,normal,normal
1779041594.46258,192.168.82.30,192.168.82.20,49680,80,TCP,60,0,16,1,5,377,0.0025920867919921875,75.4,60,131,1928.9477557027226,145442.66077998528,1,4,0,1,0,5,normal,normal
1779041594.463225,192.168.82.30,192.168.82.20,49680,80,TCP,131,77,24,1,5,377,0.0025920867919921875,75.4,60,131,1928.9477557027226,145442.66077998528,1,4,0,1,0,5,normal,normal
1779041594.463436,192.168.82.20,192.168.82.30,80,49680,TCP,980,926,24,1,3,1106,0.002402067184448242,368.6666666666667,60,980,1248.9242679900744,460436.74679900747,1,3,0,1,0,3,normal,normal
1779041594.463883,192.168.82.30,192.168.82.20,49680,80,TCP,60,0,17,1,5,377,0.0025920867919921875,75.4,60,131,1928.9477557027226,145442.66077998528,1,4,0,1,0,5,normal,normal
1779041594.4647,192.168.82.20,192.168.82.30,80,49680,TCP,60,0,17,1,3,1106,0.002402067184448242,368.6666666666667,60,980,1248.9242679900744,460436.74679900747,1,3,0,1,0,3,normal,normal
1779041594.46489,192.168.82.30,192.168.82.20,49680,80,TCP,60,0,16,1,5,377,0.0025920867919921875,75.4,60,131,1928.9477557027226,145442.66077998528,1,4,0,1,0,5,normal,normal
1779041594.483607,192.168.82.30,192.168.82.20,49681,80,TCP,66,0,2,1,5,377,0.0040318965911865234,75.4,60,131,1240.1111702442197,93504.38223641417,1,4,0,1,0,5,normal,normal
1779041594.484381,192.168.82.20,192.168.82.30,80,49681,TCP,66,0,18,1,3,1106,0.003062009811401367,368.6666666666667,60,980,979.7486568558747,361200.6714941992,1,3,0,1,0,3,normal,normal
1779041594.484381,192.168.82.30,192.168.82.20,49681,80,TCP,60,0,16,1,5,377,0.0040318965911865234,75.4,60,131,1240.1111702442197,93504.38223641417,1,4,0,1,0,5,normal,normal
1779041594.484627,192.168.82.30,192.168.82.20,49681,80,TCP,131,77,24,1,5,377,0.0040318965911865234,75.4,60,131,1240.1111702442197,93504.38223641417,1,4,0,1,0,5,normal,normal
1779041594.48633,192.168.82.20,192.168.82.30,80,49681,TCP,980,926,24,1,3,1106,0.003062009811401367,368.6666666666667,60,980,979.7486568558747,361200.6714941992,1,3,0,1,0,3,normal,normal
